id,Name,Address,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Longitude,Latitude
30,City Toilet,12 Drydock Av,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,-71.03416292,42.34480973
31,City Toilet,2 Long Wharf,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,-71.05003841,42.36017887
32,City Toilet,140 Dudley St,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,-71.08485726,42.32903353
33,BCYF Blackstone,50 West Brookline St,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,09:00-17:00,closed,-71.07301973,42.34029631
34,BCYF Charlestown,255 Medford St,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,09:00-17:00,closed,-71.06106703,42.38086598
35,BCYF Cleveland,11 Charles St,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,closed,closed,-71.06158053,42.30077328
36,BCYF Clougherty Pool,331 Bunker Hill St,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,closed,closed,-71.06775555,42.38215965
37,BCYF Condon,200 D St,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,closed,closed,-71.05206283,42.33804051
38,BCYF Curley,1663 Columbia Rd,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,09:00-17:00,-71.0359477,42.3291277
39,BCYF Curtis Hall,20 South St,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,09:00-17:00,-71.11489099,42.30882832
40,BCYF Draper Pool,5275 Washington St,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,closed,closed,-71.15971818,42.2601259
41,BCYF Flaherty Pool,160 Florence St,05:30-21:00,05:30-21:00,05:30-21:00,05:30-21:00,05:30-21:00,07:00-15:00,closed,-71.1221867,42.28833955
42,BCYF Gallivan,61 Woodruff Way,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,09:00-17:00,closed,-71.08237295,42.2752171
43,BCYF Golden,382 Main St,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,closed,closed,-71.06990829,42.37977498
44,BCYF Grove H,51 Geneva Av,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,closed,closed,-71.08073523,42.30748679
45,BCYF Hennigan,200 Heath St,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,closed,closed,-71.10645311,42.32596732
46,BCYF Holland,85 Olney St,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,09:00-17:00,closed,-71.07354,42.3058691
47,BCYF Hyde Park,1179 River St,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,09:00-17:00,-71.12099974,42.25638214
48,BCYF Jackson / Mann,500 Cambridge St,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,09:00-17:00,closed,-71.13744099,42.35305507
49,BCYF Leahy/Holloran,1 Worrell St,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,09:00-17:00,closed,-71.0494945,42.29455084
50,BCYF Madison Park,55 Malcolm X Blvd,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,09:00-17:00,closed,-71.08859368,42.33117981
51,BCYF Mason Pool,159 Norfolk Av,closed,11:00-19:00,10:00-18:00,10:00-18:00,11:00-19:00,09:00-17:00,closed,-71.07088514,42.32574817
52,BCYF Mattahun,100 Hebron St,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,closed,closed,-71.10606616,42.27429487
53,BCYF Menino,125 Brookway Rd,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,09:00-17:00,closed,-71.12011141,42.29233462
54,BCYF Mildred Av,5 Mildred Av,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,09:00-17:00,closed,-71.09050733,42.27676741
55,BCYF Mirabella Pool,475R Commercial St,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,-71.05404042,42.3683246
56,BCYF Nazzaro,30 North Bennet St,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,09:00-17:00,closed,-71.05449563,42.3652944
57,BCYF Ohrenberger,175 West Boundary Rd,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,09:00-17:00,closed,-71.1496029,42.26069296
58,BCYF Paris St,112 Paris St,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,closed,closed,-71.03749522,42.37282597
59,BCYF Paris St Pool,11 Paris St,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,closed,closed,-71.040186,42.369558
60,BCYF Perkins,155 Talbot Av,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,09:00-17:00,closed,-71.07999782,42.29226343
61,BCYF Pino,86 Boardman St,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,09:00-17:00,closed,-71.01081531,42.3888621
62,BCYF Quincy,885 Washington St,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,09:00-17:00,closed,-71.0648747,42.34789414
63,BCYF Roche,1716 Centre St,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,09:00-17:00,closed,-71.14927142,42.28701311
64,BCYF Roslindale,6 Cummins Highway,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,09:00-17:00,closed,-71.1276547,42.28656636
65,BCYF Shelburne,2730 Washington St,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,09:00-17:00,-71.09021687,42.32244591
66,BCYF Tobin,1481 Tremont St,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,09:00-17:00,closed,-71.0981567,42.33218456
67,BCYF Tynan,650 East Fourth St,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,closed,closed,-71.03859122,42.33488104
68,BCYF Vine St,339 Dudley St,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,09:00-17:00,closed,-71.07669924,42.32678722
