FID,Count,Area,X,Y,Perimeter,NEAR_FID,NEAR_DIST,ST_NAME,ST_TYPE,MUN_L,SPEEDLIMIT,NBHD_L,STREET_ID,OBJECTID,SITE_NAME,OWNERSHIP,DISTRICT,ACRES,TypeLong,OS_Own_Jur,ALT_NAME
12,1,19.069906009200000,-71.132159344300007,42.234550228099998,42.682978994300001,6031,25.540138186499998,Parkson,ST,Boston,20,Hyde Park,3153,0, , , ,0.000000000000000, , , 
13,1,12.360001547100000,-71.132281593000002,42.234616445199997,22.193085295100001,6031,43.657907524499997,Parkson,ST,Boston,20,Hyde Park,3153,145,Camp Meigs,Commonwealth of Massachusetts,Hyde Park,2.865839490000000,"Parks, Playgrounds & Athletic Fields",DCR, 
14,1,9.728868515169999,-71.132403749299996,42.234711719000003,23.501294608799999,6031,62.830625138000002,Parkson,ST,Boston,20,Hyde Park,3153,145,Camp Meigs,Commonwealth of Massachusetts,Hyde Park,2.865839490000000,"Parks, Playgrounds & Athletic Fields",DCR, 
15,1,11.522588432199999,-71.131755298100003,42.234773816400001,21.569357576800002,-1,-1.000000000000000, , , ,0, ,0,145,Camp Meigs,Commonwealth of Massachusetts,Hyde Park,2.865839490000000,"Parks, Playgrounds & Athletic Fields",DCR, 
16,1,9.691127701479999,-71.131779861799998,42.234779013299999,21.035543067100001,-1,-1.000000000000000, , , ,0, ,0,145,Camp Meigs,Commonwealth of Massachusetts,Hyde Park,2.865839490000000,"Parks, Playgrounds & Athletic Fields",DCR, 
17,1,10.557017375299999,-71.132445352399998,42.234779864799997,21.447008372500001,6031,83.161339573099994,Parkson,ST,Boston,20,Hyde Park,3153,145,Camp Meigs,Commonwealth of Massachusetts,Hyde Park,2.865839490000000,"Parks, Playgrounds & Athletic Fields",DCR, 
18,1,8.602450521720000,-71.130941713799999,42.234805058299997,19.909661302400000,1761,33.709678521000001,Clifford,ST,Boston,20,Hyde Park,918,145,Camp Meigs,Commonwealth of Massachusetts,Hyde Park,2.865839490000000,"Parks, Playgrounds & Athletic Fields",DCR, 
19,1,9.379134383209999,-71.132429800799997,42.234813495499999,21.692662365899999,6031,95.916093794999995,Parkson,ST,Boston,20,Hyde Park,3153,145,Camp Meigs,Commonwealth of Massachusetts,Hyde Park,2.865839490000000,"Parks, Playgrounds & Athletic Fields",DCR, 
20,1,13.795293489700001,-71.132339607700004,42.234852207899998,25.637891792500000,-1,-1.000000000000000, , , ,0, ,0,145,Camp Meigs,Commonwealth of Massachusetts,Hyde Park,2.865839490000000,"Parks, Playgrounds & Athletic Fields",DCR, 
21,1,12.389695177400000,-71.132208680700003,42.234887476799997,21.152235914599999,-1,-1.000000000000000, , , ,0, ,0,145,Camp Meigs,Commonwealth of Massachusetts,Hyde Park,2.865839490000000,"Parks, Playgrounds & Athletic Fields",DCR, 
22,1,7.741786633860000,-71.132234111399995,42.234894301099999,18.080860504200000,-1,-1.000000000000000, , , ,0, ,0,145,Camp Meigs,Commonwealth of Massachusetts,Hyde Park,2.865839490000000,"Parks, Playgrounds & Athletic Fields",DCR, 
23,1,10.225361502200000,-71.131895100500003,42.234934834699999,23.187389692600000,7184,90.256630598000001,Stanbro,ST,Boston,20,Hyde Park,3962,145,Camp Meigs,Commonwealth of Massachusetts,Hyde Park,2.865839490000000,"Parks, Playgrounds & Athletic Fields",DCR, 
24,1,7.692877046660000,-71.131985328300004,42.234950158300002,17.413112147700001,7184,95.345859311400005,Stanbro,ST,Boston,20,Hyde Park,3962,145,Camp Meigs,Commonwealth of Massachusetts,Hyde Park,2.865839490000000,"Parks, Playgrounds & Athletic Fields",DCR, 
25,1,9.057428834700000,-71.132006940599993,42.234955544100004,19.666753474699998,7184,95.279525870000001,Stanbro,ST,Boston,20,Hyde Park,3962,145,Camp Meigs,Commonwealth of Massachusetts,Hyde Park,2.865839490000000,"Parks, Playgrounds & Athletic Fields",DCR, 
26,1,7.791118538940000,-71.132209253799999,42.235005237099998,18.911626109099998,7184,95.354832640799998,Stanbro,ST,Boston,20,Hyde Park,3962,145,Camp Meigs,Commonwealth of Massachusetts,Hyde Park,2.865839490000000,"Parks, Playgrounds & Athletic Fields",DCR, 
27,1,8.987604449359999,-71.132231932799996,42.235010952700001,20.444075158099999,7184,95.425715576000002,Stanbro,ST,Boston,20,Hyde Park,3962,145,Camp Meigs,Commonwealth of Massachusetts,Hyde Park,2.865839490000000,"Parks, Playgrounds & Athletic Fields",DCR, 
28,1,10.019031650200001,-71.131610426699993,42.235043644900003,21.624962807500001,7185,30.669294407500001,Stanbro,ST,Boston,20,Hyde Park,3962,145,Camp Meigs,Commonwealth of Massachusetts,Hyde Park,2.865839490000000,"Parks, Playgrounds & Athletic Fields",DCR, 
29,1,10.882880073800001,-71.131702164199993,42.235067475100003,22.271886732100000,7185,30.419697204399998,Stanbro,ST,Boston,20,Hyde Park,3962,145,Camp Meigs,Commonwealth of Massachusetts,Hyde Park,2.865839490000000,"Parks, Playgrounds & Athletic Fields",DCR, 
30,1,16.148296992399999,-71.132246392100001,42.237352815100003,27.043474084800000,8507,19.824738685200000,Wolcott,SQ,Boston,20,Hyde Park,4563,0, , , ,0.000000000000000, , , 
31,1,14.808148948600000,-71.132267270800000,42.237385416099997,26.249579499999999,8507,26.788233152800000,Wolcott,SQ,Boston,20,Hyde Park,4563,146,Jeremiah Hurley Memorial Park,City of Boston,Hyde Park,0.070000000000000,"Malls, Squares & Plazas",BPRD,Wolcott Square
32,1,19.304679680300001,-71.133992500500000,42.238076859300001,27.913637580400000,-1,-1.000000000000000, , , ,0, ,0,0, , , ,0.000000000000000, , , 
33,1,21.635066923299998,-71.135653858900000,42.238989284900001,36.084570787300002,3115,35.285934573799999,Fleet,ST,Boston,15,Hyde Park,1564,144,Iacono/Readville Playground,City of Boston,Hyde Park,4.914023440000000,"Parks, Playgrounds & Athletic Fields",BPRD, 
34,1,13.706926749200001,-71.135742089399997,42.239025264799999,25.799830766700001,6406,34.868604839000000,Readville,ST,Boston,20,Hyde Park,3495,144,Iacono/Readville Playground,City of Boston,Hyde Park,4.914023440000000,"Parks, Playgrounds & Athletic Fields",BPRD, 
35,1,14.241563626100000,-71.135750983899996,42.239064136600000,26.251745783699999,6406,34.720509636999999,Readville,ST,Boston,20,Hyde Park,3495,144,Iacono/Readville Playground,City of Boston,Hyde Park,4.914023440000000,"Parks, Playgrounds & Athletic Fields",BPRD, 
36,1,14.927058791300000,-71.133119634600007,42.239088717199998,26.063256992300001,-1,-1.000000000000000, , , ,0, ,0,0, , , ,0.000000000000000, , , 
37,1,17.582856313099999,-71.135347531799994,42.239093684300002,33.668479089900003,3115,92.839879270200001,Fleet,ST,Boston,15,Hyde Park,1564,144,Iacono/Readville Playground,City of Boston,Hyde Park,4.914023440000000,"Parks, Playgrounds & Athletic Fields",BPRD, 
38,1,22.927656418800002,-71.135724372300004,42.239121191099997,35.075043564100000,6406,45.167598512200001,Readville,ST,Boston,20,Hyde Park,3495,144,Iacono/Readville Playground,City of Boston,Hyde Park,4.914023440000000,"Parks, Playgrounds & Athletic Fields",BPRD, 
39,1,16.695178392300001,-71.135351458599999,42.239131065000002,35.848761076999999,-1,-1.000000000000000, , , ,0, ,0,144,Iacono/Readville Playground,City of Boston,Hyde Park,4.914023440000000,"Parks, Playgrounds & Athletic Fields",BPRD, 
40,1,12.281992961600000,-71.133366545599998,42.239145487400002,25.932113913500000,-1,-1.000000000000000, , , ,0, ,0,0, , , ,0.000000000000000, , , 
41,1,27.192926591599999,-71.123226320900002,42.243069875000003,28.201473386100002,-1,-1.000000000000000, , , ,0, ,0,0, , , ,0.000000000000000, , , 
42,1,16.833360806799998,-71.126861296300007,42.243131453600000,28.120911224600000,-1,-1.000000000000000, , , ,0, ,0,399,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.779952470000000,"Parkways, Reservations & Beaches",DCR, 
43,1,12.951814924000001,-71.126741145400004,42.243189219100003,25.157414369700000,10295,84.869229141700004,Truman,PKWY,Boston,30,Hyde Park,4191,399,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.779952470000000,"Parkways, Reservations & Beaches",DCR, 
44,1,17.872384971799999,-71.126613573499995,42.243366196799997,27.401005266100000,10295,53.444090497099999,Truman,PKWY,Boston,30,Hyde Park,4191,399,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.779952470000000,"Parkways, Reservations & Beaches",DCR, 
45,1,19.517980860400002,-71.126653128200005,42.243477647699997,29.667726256200002,10295,62.834812152399998,Truman,PKWY,Boston,30,Hyde Park,4191,399,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.779952470000000,"Parkways, Reservations & Beaches",DCR, 
46,1,14.165947568700000,-71.127227708700005,42.243492682599999,25.915919210700000,-1,-1.000000000000000, , , ,0, ,0,399,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.779952470000000,"Parkways, Reservations & Beaches",DCR, 
47,1,15.898796036800000,-71.126711227100003,42.243536226499998,27.584421531600000,10295,78.718343644200004,Truman,PKWY,Boston,30,Hyde Park,4191,399,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.779952470000000,"Parkways, Reservations & Beaches",DCR, 
48,1,21.480020853900001,-71.127108785700003,42.243559875700001,30.882881844200000,-1,-1.000000000000000, , , ,0, ,0,399,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.779952470000000,"Parkways, Reservations & Beaches",DCR, 
49,1,16.010943161899998,-71.126831519700005,42.243589321800002,26.291436915399998,-1,-1.000000000000000, , , ,0, ,0,399,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.779952470000000,"Parkways, Reservations & Beaches",DCR, 
50,1,15.469335577300001,-71.126973300000003,42.243590362399999,25.520535374800001,-1,-1.000000000000000, , , ,0, ,0,399,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.779952470000000,"Parkways, Reservations & Beaches",DCR, 
51,1,10.912892449599999,-71.127083003699994,42.243653985800002,19.752628223199999,-1,-1.000000000000000, , , ,0, ,0,399,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.779952470000000,"Parkways, Reservations & Beaches",DCR, 
52,1,40.271922189800001,-71.122270330199996,42.243707823299999,35.026562283799997,7977,85.347708671700005,Washington Street,PL,Boston,15,Hyde Park,4360,0, , , ,0.000000000000000, , , 
53,1,9.353941808189999,-71.126999414300002,42.243742396300000,19.576025815500000,-1,-1.000000000000000, , , ,0, ,0,399,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.779952470000000,"Parkways, Reservations & Beaches",DCR, 
54,1,9.939110114409999,-71.126800705099996,42.243771917099998,19.694826295199999,-1,-1.000000000000000, , , ,0, ,0,399,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.779952470000000,"Parkways, Reservations & Beaches",DCR, 
55,1,15.226299264500000,-71.124989081899997,42.243789818700002,26.427161494300002,-1,-1.000000000000000, , , ,0, ,0,143,Moynihan Playground,Commonwealth of Massachusetts,Hyde Park,7.185713250000000,"Parks, Playgrounds & Athletic Fields",DCR, 
56,1,9.969112688610000,-71.126874864499996,42.243811468399997,20.362016073600000,-1,-1.000000000000000, , , ,0, ,0,399,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.779952470000000,"Parkways, Reservations & Beaches",DCR, 
57,1,11.707604276600000,-71.125883842400000,42.243824041499998,20.549689674300001,12052,89.540034785200007,Truman,PKWY,Boston,30,Hyde Park,4191,143,Moynihan Playground,Commonwealth of Massachusetts,Hyde Park,7.185713250000000,"Parks, Playgrounds & Athletic Fields",DCR, 
58,1,10.208442711000000,-71.126912678300002,42.243830995899998,19.806970703499999,-1,-1.000000000000000, , , ,0, ,0,399,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.779952470000000,"Parkways, Reservations & Beaches",DCR, 
59,1,9.714749486670000,-71.126753617800006,42.243845355099999,20.411785672499999,10295,95.107711453099995,Truman,PKWY,Boston,30,Hyde Park,4191,399,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.779952470000000,"Parkways, Reservations & Beaches",DCR, 
60,1,16.162432186800000,-71.124914237900001,42.243878827200000,27.484894356500000,-1,-1.000000000000000, , , ,0, ,0,143,Moynihan Playground,Commonwealth of Massachusetts,Hyde Park,7.185713250000000,"Parks, Playgrounds & Athletic Fields",DCR, 
61,1,13.200968886000000,-71.125884248600002,42.243927707099999,21.667024751700001,12052,89.009437682500007,Truman,PKWY,Boston,30,Hyde Park,4191,143,Moynihan Playground,Commonwealth of Massachusetts,Hyde Park,7.185713250000000,"Parks, Playgrounds & Athletic Fields",DCR, 
62,1,11.069885016600001,-71.124911553499999,42.243968643800002,24.629740343900000,-1,-1.000000000000000, , , ,0, ,0,143,Moynihan Playground,Commonwealth of Massachusetts,Hyde Park,7.185713250000000,"Parks, Playgrounds & Athletic Fields",DCR, 
63,1,30.627376182599999,-71.126945017599994,42.244043265999998,29.924167853800000,-1,-1.000000000000000, , , ,0, ,0,399,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.779952470000000,"Parkways, Reservations & Beaches",DCR, 
64,1,9.535570739760001,-71.124972897899994,42.244052396500003,20.562794425600000,-1,-1.000000000000000, , , ,0, ,0,143,Moynihan Playground,Commonwealth of Massachusetts,Hyde Park,7.185713250000000,"Parks, Playgrounds & Athletic Fields",DCR, 
65,1,6.200834126080000,-71.134805322099993,42.244117888700004,15.460041931899999,5533,81.053077626000004,Neponset Valley,PKWY,Boston,25,Hyde Park,2935,404,Neponset Valley Parkway,Commonwealth of Massachusetts,Hyde Park,5.495916100000000,"Parkways, Reservations & Beaches",DCR, 
66,1,5.490489729680000,-71.134829440800004,42.244120863500001,15.010454542000000,5533,82.350425035800001,Neponset Valley,PKWY,Boston,25,Hyde Park,2935,404,Neponset Valley Parkway,Commonwealth of Massachusetts,Hyde Park,5.495916100000000,"Parkways, Reservations & Beaches",DCR, 
67,1,26.804534937400000,-71.126869682299997,42.244103986500001,28.006021772600000,-1,-1.000000000000000, , , ,0, ,0,399,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.779952470000000,"Parkways, Reservations & Beaches",DCR, 
68,1,12.823688034300000,-71.124210036999997,42.244160150100001,21.779346241599999,14303,79.124897481999994,Faraday,ST,Boston,20,Hyde Park,1494,0, , , ,0.000000000000000, , , 
69,1,35.034072726799998,-71.126944675700003,42.244177086999997,32.239541520099998,-1,-1.000000000000000, , , ,0, ,0,399,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.779952470000000,"Parkways, Reservations & Beaches",DCR, 
70,1,32.335650909899996,-71.126866936300004,42.244244297800002,30.744675113100001,-1,-1.000000000000000, , , ,0, ,0,399,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.779952470000000,"Parkways, Reservations & Beaches",DCR, 
71,1,14.551613594899999,-71.134350000400005,42.244306569400003,25.657480661200001,5533,20.931935213399999,Neponset Valley,PKWY,Boston,25,Hyde Park,2935,403,Colella Playground,Commonwealth of Massachusetts,Hyde Park,0.688147130000000,"Parks, Playgrounds & Athletic Fields",DCR, 
72,1,20.309008721700000,-71.125316907300004,42.244280920700000,24.796919374000002,-1,-1.000000000000000, , , ,0, ,0,143,Moynihan Playground,Commonwealth of Massachusetts,Hyde Park,7.185713250000000,"Parks, Playgrounds & Athletic Fields",DCR, 
73,1,8.923494591500001,-71.135127756200006,42.244337705800000,17.467973504200000,5533,34.646136004100001,Neponset Valley,PKWY,Boston,25,Hyde Park,2935,404,Neponset Valley Parkway,Commonwealth of Massachusetts,Hyde Park,5.495916100000000,"Parkways, Reservations & Beaches",DCR, 
74,1,29.741617678600001,-71.126922708999999,42.244315940100002,29.524386795900000,-1,-1.000000000000000, , , ,0, ,0,399,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.779952470000000,"Parkways, Reservations & Beaches",DCR, 
75,1,8.866288481810001,-71.135119433300005,42.244354392600002,18.061414167500001,5533,27.968734371899998,Neponset Valley,PKWY,Boston,25,Hyde Park,2935,404,Neponset Valley Parkway,Commonwealth of Massachusetts,Hyde Park,5.495916100000000,"Parkways, Reservations & Beaches",DCR, 
76,1,11.350863528100000,-71.125330743999996,42.244336275499997,20.644447971300000,-1,-1.000000000000000, , , ,0, ,0,143,Moynihan Playground,Commonwealth of Massachusetts,Hyde Park,7.185713250000000,"Parks, Playgrounds & Athletic Fields",DCR, 
77,1,16.990535635200001,-71.125186318900006,42.244363271799998,26.011436144899999,-1,-1.000000000000000, , , ,0, ,0,143,Moynihan Playground,Commonwealth of Massachusetts,Hyde Park,7.185713250000000,"Parks, Playgrounds & Athletic Fields",DCR, 
78,1,13.342068258599999,-71.125265275199993,42.244378144000002,21.503162512500001,-1,-1.000000000000000, , , ,0, ,0,143,Moynihan Playground,Commonwealth of Massachusetts,Hyde Park,7.185713250000000,"Parks, Playgrounds & Athletic Fields",DCR, 
79,1,14.719411401200000,-71.125999857200000,42.244404279800001,22.929129576299999,12052,54.110518542800001,Truman,PKWY,Boston,30,Hyde Park,4191,143,Moynihan Playground,Commonwealth of Massachusetts,Hyde Park,7.185713250000000,"Parks, Playgrounds & Athletic Fields",DCR, 
80,1,11.273236313700000,-71.125841964200006,42.244406165100003,21.071156047799999,12052,96.942509650900007,Truman,PKWY,Boston,30,Hyde Park,4191,143,Moynihan Playground,Commonwealth of Massachusetts,Hyde Park,7.185713250000000,"Parks, Playgrounds & Athletic Fields",DCR, 
81,1,14.076326491200000,-71.125934593099998,42.244406997699997,21.710525983899998,12052,71.982861101400005,Truman,PKWY,Boston,30,Hyde Park,4191,143,Moynihan Playground,Commonwealth of Massachusetts,Hyde Park,7.185713250000000,"Parks, Playgrounds & Athletic Fields",DCR, 
82,1,7.926704857890000,-71.124993437399993,42.244420710100002,18.728261013099999,-1,-1.000000000000000, , , ,0, ,0,143,Moynihan Playground,Commonwealth of Massachusetts,Hyde Park,7.185713250000000,"Parks, Playgrounds & Athletic Fields",DCR, 
83,1,15.066201757600000,-71.125774963300003,42.244431556899997,22.646991440800001,-1,-1.000000000000000, , , ,0, ,0,143,Moynihan Playground,Commonwealth of Massachusetts,Hyde Park,7.185713250000000,"Parks, Playgrounds & Athletic Fields",DCR, 
84,1,10.613482104699999,-71.125827441400006,42.244481590600003,20.042780243599999,-1,-1.000000000000000, , , ,0, ,0,143,Moynihan Playground,Commonwealth of Massachusetts,Hyde Park,7.185713250000000,"Parks, Playgrounds & Athletic Fields",DCR, 
85,1,32.005321233899998,-71.126853399599995,42.244505712799999,30.579731358400000,-1,-1.000000000000000, , , ,0, ,0,399,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.779952470000000,"Parkways, Reservations & Beaches",DCR, 
86,1,10.945008660999999,-71.125047151100006,42.244526520800001,21.189019888600001,-1,-1.000000000000000, , , ,0, ,0,143,Moynihan Playground,Commonwealth of Massachusetts,Hyde Park,7.185713250000000,"Parks, Playgrounds & Athletic Fields",DCR, 
87,1,9.833967997740000,-71.125887489500002,42.244542928599998,19.658088448499999,12052,82.574644927400001,Truman,PKWY,Boston,30,Hyde Park,4191,143,Moynihan Playground,Commonwealth of Massachusetts,Hyde Park,7.185713250000000,"Parks, Playgrounds & Athletic Fields",DCR, 
88,1,9.934749934179999,-71.125119867199999,42.244563268699999,20.105605492999999,-1,-1.000000000000000, , , ,0, ,0,143,Moynihan Playground,Commonwealth of Massachusetts,Hyde Park,7.185713250000000,"Parks, Playgrounds & Athletic Fields",DCR, 
89,1,4.889804806320000,-71.133826792500003,42.244647970700001,13.251071057900001,14336,67.675370508200004,Readville,ST,Boston,20,Hyde Park,3495,0, , , ,0.000000000000000, , , 
90,1,10.148256352800001,-71.126576629100001,42.244725520700001,20.163029744999999,10295,53.224450597800001,Truman,PKWY,Boston,30,Hyde Park,4191,399,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.779952470000000,"Parkways, Reservations & Beaches",DCR, 
91,1,12.322573164500000,-71.126668038199995,42.244731566200002,21.490198192699999,10295,77.986370810500006,Truman,PKWY,Boston,30,Hyde Park,4191,399,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.779952470000000,"Parkways, Reservations & Beaches",DCR, 
92,1,10.448430993300001,-71.126819792999996,42.244741012100000,20.174081790900001,-1,-1.000000000000000, , , ,0, ,0,399,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.779952470000000,"Parkways, Reservations & Beaches",DCR, 
93,1,10.284034040600000,-71.126684174299996,42.244763087400003,18.441844919400001,10295,84.112363797399993,Truman,PKWY,Boston,30,Hyde Park,4191,399,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.779952470000000,"Parkways, Reservations & Beaches",DCR, 
94,1,13.933269246700000,-71.134850272799994,42.244785602400000,25.037844425100001,-1,-1.000000000000000, , , ,0, ,0,404,Neponset Valley Parkway,Commonwealth of Massachusetts,Hyde Park,5.495916100000000,"Parkways, Reservations & Beaches",DCR, 
95,1,12.501445667300001,-71.135494400100001,42.244837980699998,23.632090860000002,5533,62.902941040499996,Neponset Valley,PKWY,Boston,25,Hyde Park,2935,404,Neponset Valley Parkway,Commonwealth of Massachusetts,Hyde Park,5.495916100000000,"Parkways, Reservations & Beaches",DCR, 
96,1,53.276894445000003,-71.133290456799998,42.244896759699998,41.774403284700000,14336,41.673672270399997,Readville,ST,Boston,20,Hyde Park,3495,0, , , ,0.000000000000000, , , 
97,1,13.056735085200000,-71.133332858399996,42.244926280000001,22.554339034300000,14336,31.084501911699999,Readville,ST,Boston,20,Hyde Park,3495,0, , , ,0.000000000000000, , , 
98,1,15.920865832000000,-71.134840722700005,42.244932931500003,25.590860283300000,-1,-1.000000000000000, , , ,0, ,0,404,Neponset Valley Parkway,Commonwealth of Massachusetts,Hyde Park,5.495916100000000,"Parkways, Reservations & Beaches",DCR, 
99,1,14.750080613100000,-71.126945560899998,42.244920011200001,22.916691266699999,-1,-1.000000000000000, , , ,0, ,0,399,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.779952470000000,"Parkways, Reservations & Beaches",DCR, 
100,1,12.818003082400001,-71.126937961099998,42.244981245500000,21.922581830199999,-1,-1.000000000000000, , , ,0, ,0,399,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.779952470000000,"Parkways, Reservations & Beaches",DCR, 
101,1,6.279562986910000,-71.135312772000006,42.245079047200001,15.039587740000000,10678,25.925162361600002,Readville,ST,Boston,20,Hyde Park,3495,404,Neponset Valley Parkway,Commonwealth of Massachusetts,Hyde Park,5.495916100000000,"Parkways, Reservations & Beaches",DCR, 
102,1,12.471813273600000,-71.126929714900001,42.245049266199999,21.144551468100001,-1,-1.000000000000000, , , ,0, ,0,399,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.779952470000000,"Parkways, Reservations & Beaches",DCR, 
103,1,10.795964153600000,-71.126486206300001,42.245124733399997,20.653489788000002,10295,44.167996697699998,Truman,PKWY,Boston,30,Hyde Park,4191,399,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.779952470000000,"Parkways, Reservations & Beaches",DCR, 
104,1,10.018993119299999,-71.126513874300002,42.245260479099997,20.096659986500001,10295,58.590014551499998,Truman,PKWY,Boston,30,Hyde Park,4191,399,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.779952470000000,"Parkways, Reservations & Beaches",DCR, 
105,1,9.053757743140000,-71.115825146299997,42.245304416000003,18.736688459700002,1158,32.055287796599998,Brush Hill,TER,Boston,15,Hyde Park,605,0, , , ,0.000000000000000, , , 
106,1,24.375796693200002,-71.115442408299998,42.245690222000000,26.930927498799999,-1,-1.000000000000000, , , ,0, ,0,0, , , ,0.000000000000000, , , 
107,1,29.724785216000001,-71.130131576200000,42.246050064999999,35.226342198899999,-1,-1.000000000000000, , , ,0, ,0,0, , , ,0.000000000000000, , , 
108,1,8.480911968450000,-71.137355609500005,42.247722524600000,19.055798946900001,7607,31.524218585500002,Turtle Pond,PKWY,Boston,25,Hyde Park,4203,147,Stony Brook Recreation Complex,Commonwealth of Massachusetts,Hyde Park,27.390000000000001,"Parks, Playgrounds & Athletic Fields",DCR,Kelly/Factory Hill (Lawler)/Bajko/Olsen
109,1,8.480556552900000,-71.137369308399997,42.247735414399997,19.055880587000001,7607,32.114648174499997,Turtle Pond,PKWY,Boston,25,Hyde Park,4203,147,Stony Brook Recreation Complex,Commonwealth of Massachusetts,Hyde Park,27.390000000000001,"Parks, Playgrounds & Athletic Fields",DCR,Kelly/Factory Hill (Lawler)/Bajko/Olsen
110,1,8.480157871210000,-71.137324980599999,42.247737851499998,19.055179058800000,7607,41.370915476999997,Turtle Pond,PKWY,Boston,25,Hyde Park,4203,147,Stony Brook Recreation Complex,Commonwealth of Massachusetts,Hyde Park,27.390000000000001,"Parks, Playgrounds & Athletic Fields",DCR,Kelly/Factory Hill (Lawler)/Bajko/Olsen
